id,almacen,referencia,cod_barra,producto,categoria,precio_venta,cantidad,proveedor
1292,Local 1,2000000000015,2000000000015,envuelto choclo mama,CATEGORIA ESTANDAR,1200,8,ALPINA .
1293,Local 1,7708304267992,7708304267992,Escoba colombia Andecol,aseo,10000,99,PLASTICO SURCOLOMBIANO
1294,Local 1,89788,|87897,Escoba color,aseo,8000,50,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1295,Local 1,7709990086058,7709990086058,Escoba Dakota,aseo,10000,97,PLASTICO SURCOLOMBIANO
1296,Local 1,15661,8122,Escoba dalia suave,aseo,7200,100,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1297,Local 1,7708304268043,7708304268043,escoba delta eco andecol,CATEGORIA ESTANDAR,7300,2,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1298,Local 1,7707326560036,7707326560036,Escoba dura TR,CATEGORIA ESTANDAR,8900,9,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1299,Local 1,7708781552970,8708711552970,Escoba mega cristal Blanca,aseo,10800,1,PLASTICO SURCOLOMBIANO
1300,Local 1,7709990086003,7709990086003,escoba super dana,aseo,11500,19,PLASTICO SURCOLOMBIANO
1301,Local 1,7707326560340,7707326560340,escoba super TR,aseo,10500,2,PLASTICO SURCOLOMBIANO
1302,Local 1,7707326560050,7707326560050,escoba tr maxi palma suave,aseo,7700,4,PLASTICO SURCOLOMBIANO
1303,Local 1,7708781552086,7708781552086,escoba tricolor,aseo,9000,48,PLASTICO SURCOLOMBIANO
1304,Local 1,7707326560753,7707326560753,Escoba Ultra TR,aseo,11500,9,PLASTICO SURCOLOMBIANO
1305,Local 1,213,213,Escoba wm color Superior Dura,aseo,8200,99,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1306,Local 1,7708781552314,7708781552314,escoba wm suprema,aseo,10800,38,PLASTICO SURCOLOMBIANO
1307,Local 1,7708781552444,7708781552444,escoba wm tricolor,CATEGORIA ESTANDAR,9000,2,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1308,Local 1,23,23,escoba zamora blanca,aseo,9400,7,PLASTICO SURCOLOMBIANO
1309,Local 1,7708781552154,7708781552154,escoba zamora de colores,aseo,13000,47,PLASTICO SURCOLOMBIANO
1310,Local 1,7709745599284,7709745599284,esencia de canela 60 cm,abarrotes,3200,5,TECNOVENTAS DISTRIBUCIONES
1311,Local 1,7702166012004,7702166012004,Esómjillon TOP x3UND,aseo,1400,2,PLASTICO SURCOLOMBIANO
1312,Local 1,7701027915102,7701027915102,esponja acero inoxidable Brio,aseo,2100,11,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1313,Local 1,143,143,esponja doble uso,aseo,500,103,DISTRIHOGAR B.B
1314,Local 1,7707355940274,7707355940274,Esponja Magicbril oro plata,aseo,1500,2,PLASTICO SURCOLOMBIANO
1315,Local 1,7707202226186,7707202226186,Esponja Matrix,aseo,800,108,DISTRIHOGAR B.B
1316,Local 1,7709410738833,7709410738833,Esponja Quality Acerada Multiusos,aseo,1800,41,PLASTICO SURCOLOMBIANO
1317,Local 1,7702560037948,7702560037948,esponja yes malla,aseo,1000,2,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1318,Local 1,7709126248206,7709126248206,esponjas power,aseo,1000,965,DISTRIHOGAR B.B
1319,Local 1,7702137004021,7702137004021,esponjilla bon bril x 16 und,aseo,5500,6,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1320,Local 1,7702213051512,7702213051512,esponjilla bon bril x 6 und,aseo,3000,3,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1321,Local 1,7707335283537,7707335283537,Esponjilla furor x12,aseo,3900,4,DISTRIVENTAS DEL HUILA
1322,Local 1,7709717312484,7709717312484,esponjilla power,CATEGORIA ESTANDAR,3600,100,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1323,Local 1,7709717312422,7709717312422,Esponjilla Power,CATEGORIA ESTANDAR,1700,75,DISTRIMARIO SAS
1324,Local 1,7702560038495,7702560038495,esponjilla yes,aseo,4000,1,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1325,Local 1,7702166012127,7702166012127,esponjillon top x 1,aseo,500,37,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1326,Local 1,7702166012202,7702166012202,Esponjillon TOP x12UND,aseo,5000,0,PLASTICO SURCOLOMBIANO
1327,Local 1,8999002604755,8999002604755,eveready AAA,abarrotes,2300,10,DISTRIMARIO SAS
1328,Local 1,7501037608946,7501037608946,exacta 2 prestobarba,aseo,2200,11,TECNOVENTAS DISTRIBUCIONES
1329,Local 1,7702191164280,7702191164280,fab DT polvo ultra x 450 g,aseo,6000,53,UNIMASIVOS .
1330,Local 1,7702191164402,7702191164402,Fab ultra flash 450g,CATEGORIA ESTANDAR,6200,0,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1331,Local 1,7702191164327,7702191164327,fab ultra flash en polvo 2 kilo,aseo,28000,2,UNIMASIVOS .
1332,Local 1,7702191452158,7702191452158,Fab ultra flash vibra color 700gr,CATEGORIA ESTANDAR,8500,6,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1333,Local 1,7702191452165,7702191452165,fab ultra flash x 1 kg,aseo,13300,1,UNIMASIVOS .
1334,Local 1,7702191164266,7702191164266,fab ultra flash x 100 g,aseo,1800,98,UNIMASIVOS .
1335,Local 1,7702191164273,7702191164273,fab ultra flash x 225 g,aseo,3300,5,UNIMASIVOS .
1336,Local 1,7702191452141,7702191452141,fab ultra flash x 700 g,aseo,9200,18,UNIMASIVOS .
1337,Local 1,7702191164365,7702191164365,fab ultra flash x4 fg,aseo,55000,1,UNIMASIVOS .
1338,Local 1,7702191164389,7702191164389,Fab Ultra Flash x5Kg,aseo,55000,9,UNIMASIVOS .
1339,Local 1,7702191164341,7702191164341,fab ultraflash 3 kg,aseo,40000,97,UNIMASIVOS .
1340,Local 1,7702010225222,7702010225222,fabuloso  aroma floral x 500 ml,aseo,5000,92,DISTRIMARIO SAS
1341,Local 1,7509546701530,7509546701530,fabuloso alternativa cloro x 500 ml,aseo,5000,0,ALPINA .
1342,Local 1,7509546683690,7509546683690,fabuloso alternativo al cloro x 180 g,aseo,2100,86,DISTRIMARIO SAS
1343,Local 1,7509546683270,7509546683270,fabuloso aroma de bebe x 180 ml,aseo,2100,95,DISTRIMARIO SAS
1344,Local 1,7509546688756,7509546688756,fabuloso aroma energia naranja x 180 ml,aseo,2100,8,DISTRIMARIO SAS
1345,Local 1,7509546683287,7509546683287,fabuloso aroma floral x 180 ml,aseo,2100,7,DISTRIMARIO SAS
1346,Local 1,7509546683324,7509546683324,fabuloso aroma fresca lavanda  x 180 ml,aseo,2100,45,DISTRIMARIO SAS
1347,Local 1,7509546688787,7509546688787,fabuloso energia naranja 500 ml,aseo,5000,103,DISTRIMARIO SAS
1348,Local 1,7509546682167,7509546682167,fabuloso fresca lavanda  x 500 ml,aseo,4500,97,DISTRIMARIO SAS
1349,Local 1,7702010225147,7702010225147,fabuloso lavanda x 50 ml,aseo,5000,29,DISTRIMARIO SAS
1350,Local 1,7509546683263,7509546683263,fabuloso ultra frescura fresca aroma  lavanda x 180 ml,aseo,2100,13,DISTRIMARIO SAS
1351,Local 1,7702026148560,7702026148560,familia acolchamax extra grande 4 rollos,aseo,10500,92,DISTRIMARIO SAS
1352,Local 1,7702026147471,7702026147471,familia acolchamax megarollo x 1,aseo,2600,866,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1353,Local 1,7702026148492,7702026148492,familia acolchamax megarollo x 12 rollos,aseo,31000,12,DISTRIMARIO SAS
1354,Local 1,7702026143343,7702026143343,Familia eliminador de olores,CATEGORIA ESTANDAR,17000,0,DISTRIMARIO SAS
